cluster index	parent mass	RTMean
194	144.06391983032228	0.929778335
195	759.1997680664062	2.1647467
196	358.25895351917865	5.771449144444444
197	693.3085225480144	5.528969333333333
198	810.5251414014078	10.01069975
199	123.04430280412946	2.6213625
200	212.1283493068772	1.81543815
201	308.22211303859865	4.65561822
202	342.2633422851562	4.20381
203	393.2096125284831	2.6660630166666666
204	236.0794949001736	0.5640297055555555
205	203.0525268554688	0.643074622
206	467.2773101830322	8.738176059999999
207	345.1520233154297	2.2102983499999995
208	631.4898376464844	11.831427
209	338.1602325439453	2.9788797666666667
210	487.2145487467448	3.0640892
211	292.1966979980469	0.591005354
212	467.1161092122396	2.9543887666666664
213	266.1748860677083	3.516662933333333
214	592.4958801269531	11.2611985
215	703.5759531656901	10.413901
216	344.18556213378906	4.5909081
217	682.5254898071289	11.28172875
218	258.16989135796246	3.8079558857142857
219	314.1959381114502	3.6411101
220	633.4096221923828	8.806277775
221	572.4535827636719	10.171615
222	209.12286376953125	2.44810935
223	296.06635665927126	1.54264765
224	392.1707000732422	2.59644245
225	691.3302510650228	6.238297966666667
226	326.2690689086914	7.921647130000001
227	948.6233825683594	10.48785325
228	228.1246937493199	1.604686657142857
229	969.572235107422	10.4287185
230	704.4492645312744	9.03456116
231	568.4942779541016	11.9816755
232	800.507080078125	9.230114019999998
233	277.06836700516766	1.2520790333333334
234	174.18516540527344	3.834010211111112
235	572.453125	9.58103565
236	374.1443888346354	3.131691116666667
237	733.4115753218994	7.512453024999999
238	303.08440017913824	1.4437680875
239	370.18782553344727	2.7395866333333334
240	625.177619934082	3.868351225
241	592.4938812255859	11.48395125
242	357.1161092122396	2.4455939333333334
243	319.213943482605	0.6358227
244	216.1052322387696	2.1401061
245	334.1285731101481	2.591707683333333
246	599.4656524658203	11.863407
247	415.3004964192708	9.281190083333332
248	291.1953430175781	5.461791957142856
249	650.3944091796875	3.80237525
250	617.4403381347656	10.831318
251	442.2651023864746	4.16920355
252	456.2805908240234	4.30559638
253	476.1911849975586	4.0343998
254	416.3646636962891	11.9930061
255	250.14364471560057	2.1950353700000003
256	621.2707000732422	9.99201731
257	429.3735961923706	11.1399587
258	326.2327702860107	4.901960633333332
259	763.4246419389648	6.861957333333334
260	388.212651570638	4.418375066666666
261	322.21258036295575	1.9019934166666668
262	501.1581726074219	2.4808028
263	294.2790985107422	8.976807033333332
264	516.3011322021484	3.7582808
265	236.16523742851564	3.4334302199999995
266	427.0758794148763	1.382530933333333
267	280.17542521187335	3.454152216666667
268	666.5293273966878	10.966019333333334
269	244.1544097911865	0.8156676489999999
270	555.27734375	4.673112519999999
271	808.5895568872071	11.7825516
272	579.298095703125	3.828167375
273	461.2353363037109	4.29369815
274	377.1738688151042	3.1798659
275	306.1336669921875	3.17557315
276	273.18072509765625	2.9307205
277	823.224609375	3.160456975
278	469.3139678955078	9.28565032
279	328.2319590250651	2.2976602
280	255.9432403564453	1.2848328
281	500.3958129882813	9.263669
282	165.05455589294434	2.240021475
283	186.11254501494145	1.5896830999999998
284	362.15946197509766	3.00268685
285	582.5937561035156	11.3913365
286	293.14947509765625	2.312977650000001
287	142.12263870263672	2.89141671
288	337.1672134399414	9.457308283333331
289	487.21461486816406	3.3330617
290	414.2294413248698	3.0010594333333334
291	258.1105834987305	1.39956956
292	363.1550242130127	2.487882566666667
293	288.1948699951172	4.6642727
294	401.2841847747599	9.900998083333334
295	271.1693623860677	6.61100095
296	208.13314819335932	4.5550457625
297	706.4636484814046	8.66984485
298	233.2261110948181	8.363965633333335
299	804.5497314453125	8.9489196
300	398.1960754394531	3.5004337
301	211.0845184326172	1.3171127499999995
302	549.3757476806641	9.56985135
303	465.3936920166016	11.453448833333333
304	323.1455535888672	4.0847649
305	435.2901062011719	7.058250259999999
