CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
74	147	16	0.9804	-34.075
138	147	16	0.9798	4.031
147	345	16	0.9817	28.068
147	400	16	0.9792	15.036
147	878	16	0.9781	24.000
147	1709	16	0.9778	40.031
147	2368	16	0.9828	4.031
147	2468	16	0.9778	40.031
419	1517	16	0.974	14.016
74	878	16	0.9834	-10.075
138	878	16	0.9849	28.031
345	878	16	0.9804	-4.068
355	878	16	0.9843	-28.031
878	911	16	0.987	-15.994
878	2368	16	0.9787	-19.969
878	2689	16	0.9817	56.062
1709	2468	16	1.0	0.000
1709	2689	16	0.9793	40.031
2689	3441	16	0.9798	-42.047
1883	3441	16	0.9769	13.980
400	3441	16	0.9781	22.980
2368	2689	16	0.9804	76.032
74	2368	16	0.982	-30.044
138	2368	16	0.9812	8.062
345	2368	16	0.9825	-24.037
355	2368	16	0.9793	-48.000
400	2368	16	0.9796	-11.005
2468	2689	16	0.9793	40.031
355	1517	16	0.9773	28.031
74	345	16	0.9811	-6.007
138	345	16	0.9827	32.099
345	355	16	0.9802	23.964
345	400	16	0.9816	-13.032
345	2689	16	0.9846	51.995
74	2689	16	0.9825	45.988
138	2689	16	0.9835	84.094
355	2689	16	0.9859	28.031
138	1883	16	0.9784	28.067
400	1883	16	0.976	9.000
74	138	16	0.9816	-38.106
74	355	16	0.9888	17.956
74	400	16	0.9778	-19.039
138	355	16	0.9838	56.062
138	400	16	0.979	19.067
355	911	16	0.9769	-44.025
1384	2263	17	0.7385	-328.238
1733	2263	17	0.7402	15.994
1357	1384	17	0.8727	28.032
2150	2882	18	0.8673	-4.047
639	2882	18	0.8673	-4.047
639	2150	18	1.0	0.000
2683	3113	20	0.9177	-15.998
1649	3113	20	0.9542	-15.995
2683	2812	20	0.8969	0.003
1649	2812	20	0.9017	0.006
260	2812	20	0.887	40.038
260	1397	20	0.8767	2.076
260	1649	20	0.9568	40.032
260	2683	20	0.9101	40.035
1649	2683	20	0.9376	0.003
1665	2076	21	0.9308	0.000
2076	2542	21	0.85	14.016
2398	2932	21	0.8647	37.956
2481	2932	21	0.8228	60.999
2932	2936	21	0.8416	-43.990
1664	2932	21	0.8602	-12.000
1665	2932	21	0.8238	-42.010
2398	2481	21	0.8601	-23.044
2398	2936	21	0.8228	-6.035
1665	2398	21	0.8587	-79.966
1665	2936	21	0.8358	-86.000
1665	2542	21	0.9093	14.016
343	1960	22	0.8219	161.995
418	842	27	1.0	0.000
1515	1815	28	0.9592	33.984
1515	1945	28	0.9599	49.979
1515	2061	28	0.9663	14.016
1515	3407	28	0.9592	44.026
258	1515	28	0.9587	4.068
626	1515	28	0.9535	-21.948
682	1515	28	0.9469	-35.963
738	1515	28	0.943	-50.016
2384	3150	28	0.9608	106.042
2384	3185	28	0.944	-0.000
2384	3247	28	0.9585	106.041
1621	2384	28	0.9603	-15.995
1815	2384	28	0.955	-33.984
1945	2384	28	0.9647	-49.979
2023	2384	28	0.9608	-106.042
2085	2384	28	0.9464	-15.959
1823	1903	28	0.9612	33.985
1823	2059	28	0.9523	62.016
1823	2709	28	0.9333	48.000
1823	2722	28	0.946	62.016
1815	1945	28	0.9671	15.994
1945	2023	28	0.9741	56.063
1945	3150	28	0.9741	56.063
1945	3247	28	0.9612	56.063
1945	3407	28	0.9704	-5.953
258	1945	28	0.9599	54.047
626	1945	28	0.9623	28.031
682	1945	28	0.958	14.015
2613	3368	28	0.9469	-21.984
2746	3368	28	0.9656	-33.984
3305	3368	28	0.9689	-19.970
1361	3368	28	0.9309	-7.969
669	3368	28	0.9627	-48.000
2709	3185	28	0.9411	-78.011
2752	3185	28	0.9573	39.011
1445	3185	28	0.9554	-15.995
1964	3185	28	0.9498	-78.011
669	1621	28	0.9451	-92.026
669	1735	28	0.9494	13.980
669	2613	28	0.9561	-26.016
669	2746	28	0.9781	-14.016
669	3305	28	0.9768	-28.030
1964	2059	28	0.9395	14.016
1964	2709	28	0.9687	0.000
1964	2752	28	0.9348	-117.021
1964	3247	28	0.9558	28.031
388	1964	28	0.9493	-28.031
1359	1735	28	0.9503	25.980
1556	1735	28	0.9503	25.980
1621	1735	28	0.9597	106.006
1735	2023	28	0.96	-15.959
1735	2085	28	0.9552	-106.042
1735	3150	28	0.96	-15.959
1735	3247	28	0.9604	-15.959
722	1735	28	0.9599	82.042
739	1735	28	0.9519	51.959
3150	3247	28	0.9727	-0.000
3150	3407	28	0.9773	-62.016
