CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
810	3659	12	0.9415	45.058
810	4181	12	0.9371	45.148
810	4370	12	0.9233	14.016
2498	4370	12	0.9044	-0.000
1439	2498	12	1.0	0.000
408	2498	12	1.0	0.000
36	247	12	0.9793	0.000
95	247	12	0.9532	45.058
247	996	12	0.9785	0.089
247	1135	12	0.981	0.088
247	1440	12	0.981	0.088
247	2425	12	0.9384	0.000
247	2766	12	0.9439	0.000
247	3659	12	0.9799	0.000
247	4181	12	0.9623	0.090
36	95	12	0.9587	-45.058
36	996	12	0.9732	0.089
36	1135	12	0.9874	0.088
36	1440	12	0.9874	0.088
36	2425	12	0.943	0.000
36	2766	12	0.9478	0.000
36	3659	12	0.9806	0.000
36	4181	12	0.97	0.090
1135	1440	12	1.0	-0.000
1135	2425	12	0.9399	-0.088
1135	2766	12	0.9463	-0.088
1135	3659	12	0.9852	-0.088
1135	4181	12	0.9758	0.002
95	1135	12	0.9531	45.146
996	1135	12	0.9778	-0.001
95	996	12	0.9481	45.147
95	1440	12	0.9531	45.146
95	2425	12	0.9223	45.058
95	2766	12	0.9471	45.058
95	3659	12	0.9549	45.058
95	4181	12	0.942	45.148
2425	3659	12	0.9414	-0.000
2766	3659	12	0.9439	-0.000
1440	3659	12	0.9852	-0.088
3659	4181	12	0.966	0.090
996	3659	12	0.9734	-0.089
1439	4370	12	0.9044	-0.000
408	4370	12	0.9044	0.000
1440	2425	12	0.9399	-0.088
1440	2766	12	0.9463	-0.088
1440	4181	12	0.9758	0.002
996	1440	12	0.9778	-0.001
996	2425	12	0.9316	-0.089
996	2766	12	0.9354	-0.089
996	4181	12	0.9637	0.001
2425	2766	12	0.9285	0.000
2766	4181	12	0.9355	0.090
408	1439	12	1.0	0.000
2425	4181	12	0.9294	0.090
1164	1285	13	0.7253	-44.026
1285	3556	13	0.7543	132.079
935	1285	13	0.732	-220.130
948	1285	13	0.7543	-132.078
1049	1285	13	0.7821	-88.053
1235	3983	13	1.0	-0.006
3983	4123	13	0.7315	549.466
1105	1280	13	0.8604	-124.161
1141	1280	13	0.8894	-44.026
1200	1280	13	0.8894	28.032
1280	1483	13	0.8894	44.026
1280	2064	13	0.8849	-28.032
1280	3743	13	0.8316	15.994
1280	4123	13	0.8307	36.109
972	1280	13	0.8316	-15.995
1022	1280	13	0.8303	-168.187
3063	4123	13	0.7788	533.464
1200	3063	13	0.7537	-469.324
1164	3556	13	0.7996	88.053
935	1164	13	0.755	-176.104
939	1164	13	0.7432	-132.078
948	1164	13	0.7996	-88.052
1049	1164	13	0.8318	-44.026
284	1022	13	0.8807	-220.132
1022	1105	13	0.8915	-44.026
1022	1200	13	0.8548	-196.219
1022	1719	13	0.8035	88.110
1022	2064	13	0.8501	-196.219
1022	2384	13	0.8035	88.110
1022	2795	13	0.831	-88.052
1103	2461	13	0.7606	-44.026
935	2461	13	0.7815	44.026
939	2461	13	0.7387	88.053
976	2461	13	0.7672	0.000
1719	2384	13	1.0	0.000
284	1719	13	0.8465	-132.022
683	1719	13	0.852	196.275
935	976	13	0.8444	44.026
939	976	13	0.7958	88.052
948	976	13	0.7169	132.078
976	1049	13	0.7711	-176.104
976	1103	13	0.7838	44.026
976	3556	13	0.7169	-132.078
2795	3743	13	0.8459	-64.140
2795	4280	13	0.8556	-152.192
1105	2795	13	0.8916	-44.027
1141	2795	13	0.8315	36.108
1483	2795	13	0.8315	36.108
2064	2795	13	0.8516	108.166
424	2795	13	0.8861	-281.184
972	2795	13	0.8459	64.140
2064	4280	13	0.8519	-44.026
424	4280	13	0.855	-433.376
1105	1141	13	0.8508	-80.135
1141	1200	13	0.862	-72.058
1141	1483	13	1.0	0.000
1141	2064	13	0.8366	-72.058
1141	3743	13	0.9687	-28.032
424	1141	13	0.8789	-317.292
683	1141	13	0.8876	-15.995
972	1141	13	0.9687	28.031
284	4367	13	0.8709	-28.031
427	4367	13	0.8645	0.000
935	939	13	0.8562	-44.026
939	948	13	0.7481	-44.026
939	1049	13	0.7964	-88.052
939	3556	13	0.7481	-44.025
935	948	13	0.7766	-88.052
948	1049	13	0.8236	-44.026
948	3556	13	1.0	0.001
427	1079	13	0.7362	-44.026
1105	2064	13	0.8595	-152.193
