CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
2229	2272	-111.090	0.000	0.7980	0.6248	1
2229	2378	67.990	0.000	0.7701	0.5916	1
2229	2399	-18.011	0.000	0.7508	0.5892	1
2229	2659	-153.990	0.000	0.7685	0.5262	1
2229	2664	-26.031	0.000	0.8774	0.5565	1
2229	2701	20.989	0.000	0.8542	0.4345	1
2229	2711	-35.037	0.000	0.7680	0.5307	1
2229	2727	230.043	0.000	0.8659	0.4671	1
2229	2741	51.995	0.000	0.8618	0.4913	1
2229	2800	34.968	0.000	0.8653	0.5278	1
2229	2823	-125.084	0.000	0.7406	0.4976	1
2229	2830	70.005	0.000	0.8713	0.4813	1
2229	3029	70.005	0.000	0.9107	0.6752	1
2229	3092	70.005	0.000	0.8713	0.4813	1
2229	3128	24.984	0.000	0.8653	0.4546	1
2229	3176	-69.094	0.000	0.8392	0.5668	1
2229	3193	230.043	0.000	0.8659	0.4671	1
2229	3234	-52.067	0.000	0.8455	0.5348	1
2229	3256	42.011	0.000	0.8510	0.5227	1
2229	3542	70.006	0.000	0.9107	0.6752	1
2229	3560	-92.026	0.000	0.8135	0.6507	1
2229	3574	20.005	0.000	0.8844	0.6025	1
2229	3586	-31.990	0.000	0.8533	0.5963	1
2229	3738	20.005	0.000	0.8807	0.6395	1
2229	3750	-140.011	0.000	0.8165	0.5555	1
2229	3762	-156.006	0.000	0.8221	0.5815	1
2229	3806	34.968	0.000	0.8653	0.5278	1
2229	4096	-111.090	0.000	0.7446	0.4752	1
2233	2254	18.010	0.000	0.7903	0.7103	1
2233	2324	172.014	0.000	0.7322	0.5214	1
2233	2721	172.014	0.000	0.7387	0.5531	1
2233	3409	172.014	0.000	0.7387	0.5531	1
2233	4037	-447.343	0.000	0.7065	0.5776	1
2234	2296	14.016	0.000	0.8830	0.5340	1
2235	2304	13.979	0.000	0.7887	0.4631	1
2235	2483	176.031	0.000	0.8190	0.4381	1
2235	2999	29.973	0.000	0.8321	0.4991	1
2235	3149	14.014	0.000	0.9048	0.6016	1
2235	3571	-262.106	0.000	0.7001	0.3009	1
2235	3576	-130.064	0.000	0.7601	0.4191	1
2235	3602	-204.064	0.000	0.7341	0.3634	1
2235	3606	-130.063	0.000	0.7488	0.3969	1
2235	3656	-176.033	0.000	0.7668	0.5014	1
2235	3807	29.973	0.000	0.8321	0.4991	1
2237	2251	14.016	0.000	0.8197	0.6450	1
2237	3971	14.016	0.000	0.7723	0.4912	1
2238	3735	-0.000	0.000	1.0000	1.0000	1
2239	2678	-73.931	0.000	0.8043	0.4865	1
2239	3570	-35.930	0.000	0.8738	0.3412	1
2243	2431	13.979	0.000	0.8249	0.5936	1
2243	3004	-0.000	0.000	1.0000	1.0000	1
2243	3040	-14.016	0.000	0.8284	0.4824	1
2243	3162	-6.026	0.000	0.7135	0.5557	1
2243	3268	0.000	0.000	1.0000	1.0000	1
2244	2252	18.011	0.000	0.8318	0.6632	1
2244	2272	-341.133	0.000	0.7640	0.5856	1
2244	2292	-15.995	0.000	0.8630	0.7321	1
2244	2415	-297.107	0.000	0.8613	0.5155	1
2244	2466	17.998	0.000	0.7217	0.6084	1
2244	2472	18.023	0.000	0.7217	0.6084	1
2244	2481	-297.107	0.000	0.8613	0.5155	1
2244	2496	18.020	0.000	0.7217	0.6084	1
