CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
9	2095	-46.078	0.000	0.9022	0.3765	1
9	2099	-308.113	0.000	0.7531	0.4203	1
9	2100	-0.002	0.000	0.9582	0.6829	1
9	2135	-14.017	0.000	0.8975	0.5830	1
9	2166	-106.135	0.000	0.8880	0.3487	1
9	2169	-146.060	0.000	0.7085	0.3984	1
9	2174	-456.149	0.000	0.7754	0.4619	1
9	2179	-46.225	0.000	0.7627	0.5331	1
9	2206	-162.055	0.000	0.9521	0.6364	1
9	2261	-554.309	0.000	0.7056	0.3990	1
9	2277	-308.113	0.000	0.7531	0.4203	1
9	2302	15.993	0.000	0.9437	0.5860	1
9	2306	-79.247	0.000	0.7482	0.3764	1
9	2379	-338.087	0.000	0.8329	0.4852	1
9	2414	156.988	0.000	0.7111	0.4525	1
9	2420	-162.088	0.000	0.8681	0.6003	1
9	2483	-14.017	0.000	0.8955	0.5744	1
9	2488	-20.062	0.000	0.9134	0.4214	1
9	2553	164.993	0.000	0.8410	0.4423	1
9	2678	-20.028	0.000	0.7888	0.4571	1
9	2699	-204.065	0.000	0.7537	0.4658	1
9	2749	180.004	0.000	0.7530	0.4279	1
9	2758	137.995	0.000	0.7026	0.5235	1
9	2773	-46.041	0.000	0.8969	0.3634	1
9	2805	124.014	0.000	0.9358	0.5902	1
9	2819	31.988	0.000	0.8930	0.4173	1
9	2872	-71.984	0.000	0.8161	0.3844	1
9	2903	31.969	0.000	0.7161	0.3788	1
9	2957	15.994	0.000	0.9740	0.8252	1
9	3011	-162.055	0.000	0.7737	0.3734	1
9	3032	-14.017	0.000	0.8636	0.4514	1
9	3081	164.993	0.000	0.8341	0.3777	1
9	3097	15.993	0.000	0.9447	0.6129	1
9	3149	-176.034	0.000	0.8330	0.4488	1
9	3195	31.988	0.000	0.9017	0.3907	1
9	3319	39.886	0.000	0.8486	0.3597	1
9	3486	80.863	0.000	0.7430	0.3923	1
9	3512	-162.054	0.000	0.8098	0.4186	1
9	3569	-0.002	0.000	0.9010	0.4747	1
9	3570	17.973	0.000	0.9156	0.6084	1
9	3573	-438.139	0.000	0.7119	0.4615	1
9	3598	-306.097	0.000	0.7381	0.5035	1
9	3612	176.009	0.000	0.7843	0.4233	1
9	3621	31.988	0.000	0.8930	0.4173	1
9	3650	-132.044	0.000	0.8421	0.4910	1
9	3686	161.994	0.000	0.8006	0.4625	1
9	3741	-338.087	0.000	0.8329	0.4852	1
9	3762	-248.055	0.000	0.8206	0.4943	1
9	3768	-324.107	0.000	0.8094	0.4841	1
9	3810	142.973	0.000	0.7892	0.4129	1
9	3821	-14.018	0.000	0.8636	0.4514	1
9	3912	-70.139	0.000	0.8597	0.3800	1
9	4002	-73.270	0.000	0.8329	0.3592	1
