row ID,row m/z,row retention time,intensity_measure,Blank_202404241731_EB_dbgi_mapp_blk_pre02.mzML Peak area,Blank_202404241731_EB_dbgi_mapp_blk_pre03.mzML Peak area,Blank_202404241731_EB_dbgi_mapp_blk_pre01.mzML Peak area,Blank_202404241731_EB_dbgi_mapp_blk_pre04.mzML Peak area,Erythroxylum_coca_202404241731_EB_dbgi_003208_01_01_Luca.mzML Peak area,Erythroxylum_coca_202404241731_EB_dbgi_003208_02_01_Luca.mzML Peak area,Brugmansia_insignis_202404241731_EB_dbgi_003224_02_01_Luca.mzML Peak area,Brugmansia_insignis_202404241731_EB_dbgi_003224_01_02_Luca.mzML Peak area,Erythroxylum_australe_202404241731_EB_tp24_000007_02_02_Luca.mzML Peak area,Erythroxylum_australe_202404241731_EB_tp24_000007_01_01_Luca.mzML Peak area,Unnamed: 13
673,356.2065734863281,3.968603333333333,area,0.0,0.0,0.0,0.0,0.0,0.0,1015719.8025681752,1192609.2307620198,20560.81648004662,0.0,
674,587.4680328390299,11.1628935,area,0.0,0.0,0.0,0.0,102778.96315007584,92722.14975814524,3315561.039481651,4009615.414851369,13271.841073080848,26978.68771823003,
675,761.4057464681396,7.0050352,area,0.0,0.0,0.0,0.0,0.0,0.0,68440.14999901831,8852.759035944491,623.5400634418287,1636807.4067101546,
676,400.93857421875,0.490626514,area,0.0,0.0,0.0,0.0,63013.811981100655,83796.04189217827,44313.03815742892,885670.7426479113,0.0,75232.69235816179,
677,827.490005503418,9.78299842,area,4284.0219030293065,4855.173180350594,10845.196634706494,3199.9881628507464,723104.4117573331,1133601.7554219712,726029.1058761152,1009565.0772367663,15122.175030612903,482529.86663140246,
678,463.2146809895833,3.2065890333333336,area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21091.866562290637,32328.74413648123,1220245.740034857,
679,189.0513900840454,1.3641698000000002,area,2453.5015580566237,5239.736015852058,1139.3098004941285,2758.781497157252,178753.7215896917,134247.13803685608,945039.8646554706,1273825.724553845,700490.6679527926,772706.7562616724,
680,655.4922058149414,11.771229,area,0.0,0.0,0.0,0.0,962.609724250558,12525.132061559832,996.315710141654,0.0,2136141.6511312826,431474.14125785127,
681,827.4896728654785,8.91106822,area,0.0,0.0,0.0,0.0,53191.336942887945,60371.32396272617,2281.1304469043107,13634.81355903318,0.0,4132619.293153544,
682,286.201248172869,3.7732088142857134,area,3259.892031871931,1668.9766481477116,1076.664332444068,0.0,0.0,0.0,138984.44386783734,159132.3456581714,394025.27523684135,1682154.4546139217,
683,609.4515502929687,10.2213216,area,0.0,0.0,0.0,0.0,342352.9791655654,481166.18868305074,399714.3634543406,585006.433721476,0.0,257266.903728929,
684,600.3580627441406,4.852232849999999,area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385867.79302962817,4448882.860053994,
685,447.2195625305176,4.172166025,area,0.0,0.0,0.0,0.0,0.0,0.0,19206.45087714185,36511.89527474458,1177291.66623792,3478775.2616733564,
686,144.1017463684082,3.09564474,area,20589.11595604873,18800.692803677837,18268.756064712463,18564.956176947468,369337.0764747164,416676.28511233366,2049302.4516211404,2312840.9952736646,90812.13919645923,173578.57582334822,
687,345.2020009358724,1.1321888,area,0.0,0.0,0.0,0.0,6358649.548135197,6431283.668437752,0.0,0.0,0.0,227976.93204046527,
688,590.4811096191406,11.170122333333332,area,0.0,0.0,0.0,0.0,105988.6385604398,92109.38068046044,171966.06771474695,162473.04296239422,1085505.7850288125,224257.19226987145,
689,615.4573364257812,11.031103,area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2410779.702146283,134661.31862665943,
690,561.4880523747559,10.7368855,area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1682153.473676426,51054.39940201181,
691,181.12213745170288,7.256364060000001,area,10258.386902712586,8222.297748591438,7178.411754192987,7099.011069424776,163301.21580278798,167509.73333123527,904959.5300268749,1146332.4950138342,65259.0561014693,159139.7317213189,
692,346.29568710358274,7.19671213,area,14163.762460978296,12618.83900724695,11018.252042380298,12415.907694566971,22181.979992155,15966.48811468523,16062.719964334496,16678.975928917876,698175.4087693813,41746.86110015072,
693,266.2111167940064,4.52916895,area,0.0,0.0,0.0,0.0,0.0,0.0,18399.515240879453,12697.791475497215,46385.46747561891,1765996.887390179,
694,365.08410415680544,2.05189625,area,721.6421248168467,539.6889197263433,1375.1985256164994,1201.9011197138725,48461.93328715988,70393.83680049001,3736296.9447632,6229841.791515147,25351.784654579664,54123.17200805287,
695,398.36280059878106,9.551036085714289,area,0.0,750.9505915785888,0.0,0.0,5410.488860122235,4987.195156950375,11450.945378683416,4172.39885399403,495090.37524929934,32131.460671780176,
696,282.2056884765625,4.08114,area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10114.168494175632,754046.7477017612,
