CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1059	3737	9	0.9114	-0.000
3206	3483	9	0.8367	-96.095
1175	4430	9	0.8369	18.010
1874	3080	9	0.8382	2.016
755	4106	9	0.8442	179.080
3252	4430	9	0.8434	17.026
1603	2961	9	0.8788	31.973
40	3933	9	0.8487	-15.995
771	3206	9	0.9032	26.016
1059	3511	9	0.9127	0.000
208	2066	9	0.8558	-2.016
1422	1729	9	0.8715	4.031
771	2772	9	0.9056	2.016
757	2270	9	0.8262	-2.014
1069	1422	9	0.8804	-26.016
3611	4075	9	0.847	-18.011
892	950	9	0.9036	-2.016
1266	3016	9	0.942	0.000
3016	3933	9	0.8582	-15.995
1531	2336	9	0.9222	0.000
2267	3566	9	0.8739	0.000
1341	1657	9	0.879	2.015
3016	3737	9	0.9171	-0.000
3511	3933	9	0.8641	-15.995
2237	4106	9	0.8547	28.032
3368	3434	9	0.9034	2.016
2192	3966	9	0.8735	75.021
3368	3752	9	0.8478	26.017
717	1603	9	0.8228	-15.978
675	2519	9	0.8282	-12.002
1729	3755	9	0.8381	-14.014
208	4410	9	0.9275	0.000
254	2891	9	0.8455	14.017
403	2519	9	0.8291	-14.015
994	2336	9	0.8284	17.027
2066	3566	9	0.9034	0.000
1714	2035	9	0.9477	-0.076
4341	4430	9	0.859	18.010
3483	3566	9	0.8243	-108.129
808	1657	9	0.8407	-2.015
771	1657	9	0.9014	2.016
2186	3252	9	0.8682	-0.001
3190	3414	9	0.8791	-24.000
3116	3611	9	0.8426	0.000
3511	3737	9	0.9008	-0.000
2066	4410	9	0.8574	2.016
1422	1959	9	0.8817	2.015
2237	2834	9	0.8893	-179.079
3199	3414	9	0.9061	2.017
757	1959	9	0.8852	14.016
1140	3705	9	0.9337	18.010
1531	3511	9	0.8496	15.995
2192	4106	9	0.846	28.032
1224	2022	9	0.8752	27.995
254	2961	9	0.8611	2.017
287	2519	9	0.868	-26.017
2022	2772	9	0.8633	-2.016
39	3483	9	0.8585	-44.027
3611	3933	9	0.8487	-0.000
4075	4341	9	0.8346	-0.000
2235	3206	9	0.8516	0.001
3705	4075	9	0.8712	-18.010
2035	2267	9	0.8911	0.000
617	3116	9	0.8364	-0.000
208	2035	9	0.8427	-2.016
686	2688	9	0.8388	14.016
1140	4075	9	0.8902	0.000
2066	2267	9	0.88	0.000
40	2237	9	0.8523	-92.048
1657	2022	9	0.866	2.015
1266	3737	9	0.9114	-0.000
1657	3206	9	0.8764	24.000
482	2834	9	0.8394	0.000
1531	3705	9	0.8386	-0.000
40	3016	9	0.9381	0.000
2022	3206	9	0.8387	21.985
1175	1531	9	0.8554	18.011
1341	3206	9	0.8444	26.016
4075	4430	9	0.8566	18.010
717	1959	9	0.8408	-12.037
1140	1175	9	0.8586	0.000
2979	4170	9	0.9178	23.999
892	1668	9	0.8694	21.984
950	1668	9	0.9084	24.001
287	1795	9	0.8631	14.017
287	3483	9	0.8796	0.000
808	3206	9	0.8349	21.985
1069	4170	9	0.8242	-37.992
89	3368	9	0.8227	27.994
771	1341	9	0.8635	0.001
1224	2961	9	0.8547	-2.015
1341	2235	9	0.8336	26.015
2035	3483	9	0.8214	108.130
3007	3966	9	0.8807	-0.000
1059	1266	9	1.0	0.000
3737	3933	9	0.8335	-15.995
675	3483	9	0.8892	14.015
950	3434	9	0.8735	27.995
3190	3199	9	0.9015	-26.017
2035	3566	9	0.8991	0.000
254	686	9	0.8238	26.017
3116	3705	9	0.838	0.000
617	3611	9	0.8604	0.000
1603	1874	9	0.8818	45.988
2519	3483	9	0.9017	26.017
89	1668	9	0.8451	26.015
1714	3566	9	0.8867	-0.076
3032	3789	9	0.8704	0.000
2035	4410	9	0.8282	2.016
40	1059	9	0.9409	-0.000
1059	3016	9	0.942	0.000
1224	3080	9	0.8647	14.016
1795	3483	9	0.8629	-14.016
3705	4430	9	0.9149	-0.000
771	931	9	0.8263	-2.015
950	3414	9	0.8288	0.985
1920	2235	9	0.8254	28.031
617	3933	9	0.8756	-0.000
1140	3252	9	0.8571	0.984
1069	1959	9	0.88	-24.001
2336	3705	9	0.8282	-0.000
40	3737	9	0.9121	-0.000
40	3511	9	0.9163	0.000
2066	3483	9	0.8284	108.130
3016	3511	9	0.9114	-0.000
1471	3980	10	0.7919	-262.233
1471	3554	10	0.7594	-264.251
480	959	11	0.8971	14.016
1435	2271	11	0.8972	-1.979
577	959	11	0.8209	63.998
145	3322	11	0.8821	1.995
2803	3791	11	0.8347	-2.006
1435	2803	11	0.8909	-1.979
2067	2753	11	0.917	-202.048
959	3885	11	0.8939	-14.022
