CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
3845	4391	16	1.0	0.000
1427	4391	16	0.8896	146.036
1621	4391	16	0.7437	-104.026
3488	3845	16	0.7727	146.037
1427	3845	16	0.8896	146.036
1621	3845	16	0.7437	-104.026
2433	4357	16	0.8057	-23.998
2736	4357	16	0.8057	-24.000
3901	4357	16	0.7852	-2.016
992	1063	16	0.8324	-0.984
1063	3608	16	0.7702	37.031
3608	3877	16	0.7605	78.969
1621	3608	16	0.7531	-78.969
928	1427	16	0.7874	0.000
2433	2736	16	1.0	0.002
2433	3901	16	0.7558	-21.982
446	2433	16	0.7604	-42.024
241	1019	16	0.7641	-74.182
446	1019	16	0.8816	-21.984
1019	1664	16	0.8668	-4.031
1019	3901	16	0.7509	-42.022
3419	3877	16	0.7718	46.006
1621	3877	16	0.9698	0.000
241	499	16	0.7671	23.979
3181	4032	16	0.7412	144.043
1621	3419	16	0.7583	-46.006
4049	4096	16	1.0	0.000
2736	3901	16	0.7558	-21.984
446	2736	16	0.7604	-42.022
499	853	16	0.8583	30.010
3419	4032	16	0.7813	-161.995
446	1664	16	0.8647	-26.016
3873	4045	17	0.9116	0.000
1408	4045	17	0.9084	-0.000
2365	3833	17	0.9626	-0.000
1408	3833	17	0.8686	-40.031
2126	3833	17	0.8885	-0.000
1408	3873	17	0.9335	-0.000
2126	2365	17	0.8758	0.000
2702	3405	18	0.7776	4.029
2702	4276	18	0.7543	0.001
1349	2702	18	0.7367	-4.030
1515	2702	18	0.7822	-28.028
452	745	18	0.7633	52.978
745	849	18	0.7495	-78.994
745	1519	18	0.8058	-81.008
745	2046	18	0.7882	-81.010
745	2228	18	0.7888	-78.995
745	2408	18	0.7494	183.236
745	3099	18	0.793	-74.962
745	4067	18	0.8803	32.063
745	4327	18	0.7495	-78.993
745	4356	18	1.0	0.000
1515	3405	18	0.7632	-23.999
1519	3405	18	0.7764	2.015
105	1349	18	0.8079	-23.998
452	1349	18	0.7662	-26.014
1349	1515	18	0.7592	23.998
1349	1860	18	0.7758	-2.017
1349	3099	18	0.8239	4.030
2228	4356	18	0.7888	78.995
2408	4356	18	0.7494	-183.235
3099	4356	18	0.793	74.963
452	4356	18	0.7633	52.979
849	4356	18	0.7495	78.994
4067	4356	18	0.8803	-32.063
4327	4356	18	0.7495	78.993
1519	4356	18	0.8058	81.008
2046	4356	18	0.7882	81.010
849	1519	18	0.7992	-2.015
1519	2046	18	0.7975	-0.002
1519	2228	18	0.8219	2.014
1519	2686	18	0.7697	4.030
1519	3099	18	0.7984	6.046
1519	4276	18	0.7662	-2.013
1519	4327	18	0.7992	2.015
105	2046	18	0.8051	-26.016
452	2046	18	0.8226	-28.031
849	2046	18	0.8325	-2.016
1515	2046	18	0.8141	-26.015
1860	2046	18	0.7913	-0.000
2046	2228	18	0.8299	2.015
2046	3099	18	0.7992	6.047
2046	4327	18	0.8325	2.017
108	198	18	0.8494	-26.016
198	715	18	0.8142	-2.015
198	1633	18	0.7936	28.030
198	2408	18	0.8929	2.017
198	2746	18	0.8627	4.031
108	391	18	0.7454	-56.063
391	715	18	0.7182	28.032
105	1860	18	0.841	-26.016
452	1860	18	0.8403	-28.031
1860	3099	18	0.8099	6.047
1860	4276	18	0.7636	-2.012
105	452	18	0.9213	2.015
452	2228	18	0.7756	-26.016
452	2408	18	0.7784	236.214
452	2746	18	0.7845	238.229
452	3099	18	0.8234	-21.984
452	4276	18	0.7913	-30.043
105	715	18	0.7615	234.197
108	715	18	0.8839	-28.031
715	1633	18	0.7856	30.045
