feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final
4421	25	Terpenoids	1.0	Eicosanoids	1.0	Acyclic monoterpenoids	1.0	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q104923630	BCTBAGTXFYWYMW-WCBMZHEXSA-N	InChI=1S/C10H18O2/c1-5-10(4)7-6-8(11)9(2,3)12-10/h5,8,11H,1,6-7H2,2-4H3/t8-,10+/m0/s1	C=C[C@]1(C)CC[C@H](O)C(C)(C)O1	C10H18O2	pos_2MHNH3	170.130679816	(3S,6S)-6-ethenyl-2,2,6-trimethyloxan-3-ol	BCTBAGTXFYWYMW	Terpenoids	Monoterpenoids	Acyclic monoterpenoids	http://www.wikidata.org/entity/Q1857886	Hesperis matronalis	281533.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Hesperideae']	['Hesperis']	['Hesperis matronalis']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']				6	3	7.5	1
4419	581	Fatty acids	0.5	Fatty esters	0.5	Fatty acyl carnitines	0.5	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q27140244	ZGNBLKBZJBJFDG-UHFFFAOYSA-N	InChI=1S/C10H17NO6/c1-11(2,3)6-7(4-8(12)13)17-10(16)5-9(14)15/h7H,4-6H2,1-3H3,(H-,12,13,14,15)	C[N+](C)(C)CC(CC(=O)[O-])OC(=O)CC(=O)O	C10H17NO6	pos_2MHNH3	247.105587264	O-malonylcarnitine	ZGNBLKBZJBJFDG	Fatty acids	Fatty esters	Fatty acyl carnitines	http://www.wikidata.org/entity/Q177932	Brassica napus	309234.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Brassiceae']	['Brassica']	['Brassica napus']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']				6	3	7.5	1
4417	10	Amino acids and Peptides	0.6842105263157895	Small peptides	0.6842105263157895	Aminoacids	0.6052631578947368	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q484940	AGPKZVBTJJNPAG-WHFBIAKZSA-N	InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1	CC[C@H](C)[C@H](N)C(=O)O	C6H13NO2	pos_1_1proton	131.094628656	(2S,3S)-2-ammonio-3-methylpentanoate	AGPKZVBTJJNPAG	Amino acids and Peptides	Small peptides	Aminoacids	http://www.wikidata.org/entity/Q27264	Capsella bursa-pastoris	833644.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Camelineae']	['Capsella']	['Capsella bursa-pastoris']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']				6	3	7.5	1
4417	10	Amino acids and Peptides	0.6842105263157895	Small peptides	0.6842105263157895	Aminoacids	0.6052631578947368	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q60662890	ROHFNLRQFUQHCH-UHFFFAOYSA-N	InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)	CC(C)CC(N)C(=O)O	C6H13NO2	pos_1_1proton	131.094628656	2-Azaniumyl-4-methylpentanoate	ROHFNLRQFUQHCH	Amino acids and Peptides	Small peptides	Aminoacids	http://www.wikidata.org/entity/Q158695	Arabidopsis thaliana	309263.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Camelineae']	['Arabidopsis']	['Arabidopsis thaliana']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']				6	3	7.5	1
4414	796	Amino acids and Peptides	1.0	Small peptides	1.0	Aminoacids	1.0	1.0	0.31224304	ISDB	http://www.wikidata.org/entity/Q105185027	NSGOABPZARPCFM-YUPRTTJUSA-N	InChI=1S/C7H14N2O4S/c1-3(5(9)7(12)13)14-2-4(8)6(10)11/h3-5H,2,8-9H2,1H3,(H,10,11)(H,12,13)/t3-,4-,5-/m0/s1	C[C@H](SC[C@H](N)C(=O)O)[C@H](N)C(=O)O	C7H14N2O4S		222.067427928	(2R,3S,2'R)-beta-Methyllanthionine	NSGOABPZARPCFM	Amino acids and Peptides	Small peptides	Aminoacids	http://www.wikidata.org/entity/Q138029	Clavulinopsis helvola	508973.0	['Eukaryota']	['Fungi']	['Basidiomycota']	['Agaricomycetes']	['Agaricales']	['Clavariaceae']	['Unknown']	['Clavulinopsis']	['Clavulinopsis helvola']		['Eukaryota']									1	3	3.748972177505493	1
4412	907	Amino acids and Peptides	1.0	Small peptides	1.0	Aminoacids	1.0	1.0	0.8081746	ISDB	http://www.wikidata.org/entity/Q188017	OUYCCCASQSFEME-QMMMGPOBSA-N	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1	N[C@@H](Cc1ccc(O)cc1)C(=O)O	C9H11NO3		181.073893212	(2S)-2-ammonio-3-(4-hydroxyphenyl)propanoate	OUYCCCASQSFEME	Amino acids and Peptides	Small peptides	Aminoacids	http://www.wikidata.org/entity/Q3384	Brassica rapa	833632.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Brassiceae']	['Brassica']	['Brassica rapa']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']				6	3	10.732698440551758	1
4411	10	Amino acids and Peptides	0.6842105263157895	Small peptides	0.6842105263157895	Aminoacids	0.6052631578947368	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q485277	HNDVDQJCIGZPNO-YFKPBYRVSA-N	InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1	N[C@@H](Cc1cnc[nH]1)C(=O)O	C6H9N3O2	pos_1_1proton	155.069476528	(2S)-2-azaniumyl-3-(1H-imidazol-5-yl)propanoate	HNDVDQJCIGZPNO	Amino acids and Peptides	Small peptides	Aminoacids	http://www.wikidata.org/entity/Q27264	Capsella bursa-pastoris	833644.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Camelineae']	['Capsella']	['Capsella bursa-pastoris']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']				6	3	7.5	1
4411	10	Amino acids and Peptides	0.6842105263157895	Small peptides	0.6842105263157895	Aminoacids	0.6052631578947368	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q27075129	BXRLWGXPSRYJDZ-VKHMYHEASA-N	InChI=1S/C4H6N2O2/c5-2-1-3(6)4(7)8/h3H,1,6H2,(H,7,8)/t3-/m0/s1	N#CC[C@H](N)C(=O)O	C4H6N2O2	pos_1_1proton1acetonitrile	114.042927432	(2S)-2-azaniumyl-3-cyanopropanoate	BXRLWGXPSRYJDZ	Amino acids and Peptides	Small peptides	Aminoacids	http://www.wikidata.org/entity/Q158695	Arabidopsis thaliana	309263.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Camelineae']	['Arabidopsis']	['Arabidopsis thaliana']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']				6	3	7.5	1
4408	-1							2.0	0.8829674	ISDB	http://www.wikidata.org/entity/Q27104772	MFGPUMDDJCTHOI-UMMCILCDSA-N	InChI=1S/C10H12N4O7/c15-1-2-4(16)5(17)8(21-2)14-6-3(11-9(19)12-6)7(18)13-10(14)20/h2,4-5,8,15-17H,1H2,(H2,11,12,19)(H,13,18,20)/t2-,4-,5-,8-/m1/s1	O=c1nc(O)c2nc(O)[nH]c2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	C10H12N4O7		300.070598724	Uric acid ribonucleoside	MFGPUMDDJCTHOI	Carbohydrates	Nucleosides	Purine nucleos(t)ides	http://www.wikidata.org/entity/Q91703	Caenorhabditis elegans	395048.0	['Eukaryota']	['Metazoa']	['Nematoda']	['Chromadorea']	['Rhabditida']	['Rhabditidae']	['Unknown']	['Caenorhabditis']	['Caenorhabditis elegans']		['Eukaryota']	['Metazoa']								2	0	5.531869649887085	1
4406	677	Alkaloids	1.0	Peptide alkaloids	1.0	Simple amide alkaloids	1.0	2.0	0.46150428	ISDB	http://www.wikidata.org/entity/Q77382109	ZOKXIFXOULCJPE-SAUXFKQKSA-N	InChI=1S/C13H23NO2/c1-5-7-8-11(4)13(16)14-12(9-15)10(3)6-2/h5,7-8,10,12,15H,6,9H2,1-4H3,(H,14,16)/b7-5+,11-8+/t10-,12-/m0/s1	C/C=C/C=C(\C)C(=O)N[C@@H](CO)[C@@H](C)CC	C13H23NO2		225.172878976	(2E,4E)-2-methyl-hexa-2,4-dienoic acid (2'R,3'S)-allo-isoleucinol amide	ZOKXIFXOULCJPE	Alkaloids	Peptide alkaloids	Simple amide alkaloids	http://www.wikidata.org/entity/Q10399970	Acremonium furcatum	871254.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Sordariomycetes']	['Hypocreales']	['Bionectriaceae']	['Unknown']	['Acremonium']	['Acremonium furcatum']		['Eukaryota']									1	3	4.346017122268677	1
4404	-1							1.0	0.7616935	ISDB	http://www.wikidata.org/entity/Q110184702	ZQCQBKSAEOIDQN-UHFFFAOYSA-N	InChI=1S/C21H27N3O6/c25-16-6-4-14(12-18(16)27)20(29)23-10-2-1-8-22-9-3-11-24-21(30)15-5-7-17(26)19(28)13-15/h4-7,12-13,22,25-28H,1-3,8-11H2,(H,23,29)(H,24,30)	O=C(NCCCCNCCCNC(=O)c1ccc(O)c(O)c1)c1ccc(O)c(O)c1	C21H27N3O6		417.189985584	Pistillarin	ZQCQBKSAEOIDQN	Alkaloids	Ornithine alkaloids	Polyamines	http://www.wikidata.org/entity/Q7162857	Penicillium bilaiae	448566.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Eurotiomycetes']	['Eurotiales']	['Trichocomaceae']	['Unknown']	['Penicillium']	['Penicillium bilaiae']		['Eukaryota']									1	0	4.046773910522461	1
4403	26	Carbohydrates	0.625	Saccharides	0.625	Monosaccharides	0.4166666666666667	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q82863755	HIWPGCMGAMJNRG-RTPHMHGBSA-N	InChI=1S/C12H22O11/c13-1-3-6(16)8(18)10(11(20)21-3)23-12-9(19)7(17)5(15)4(2-14)22-12/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8+,9-,10-,11?,12+/m1/s1	OC[C@H]1O[C@@H](O[C@H]2C(O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	C12H22O11	pos_1_1proton1ammonium	342.116211524	2-O-beta-D-Glucopyranosyl-D-glucopyranose	HIWPGCMGAMJNRG	Carbohydrates	Saccharides	Disaccharides	http://www.wikidata.org/entity/Q158695	Arabidopsis thaliana	309263.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Camelineae']	['Arabidopsis']	['Arabidopsis thaliana']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']				6	2	7.0	1
4403	26	Carbohydrates	0.625	Saccharides	0.625	Monosaccharides	0.4166666666666667	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q421773	HDTRYLNUVZCQOY-LIZSDCNHSA-N	InChI=1S/C12H22O11/c13-1-3-5(15)7(17)9(19)11(21-3)23-12-10(20)8(18)6(16)4(2-14)22-12/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8+,9-,10-,11-,12-/m1/s1	OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	C12H22O11	pos_1_1proton1ammonium	342.11621152399994	Trehalose	HDTRYLNUVZCQOY	Carbohydrates	Saccharides	Disaccharides	http://www.wikidata.org/entity/Q158695	Arabidopsis thaliana	309263.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Camelineae']	['Arabidopsis']	['Arabidopsis thaliana']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']				6	2	7.0	1
4403	26	Carbohydrates	0.625	Saccharides	0.625	Monosaccharides	0.4166666666666667	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q104984601	DLRVVLDZNNYCBX-LDGFZSKTSA-N	InChI=1S/C12H22O11/c13-1-3-5(14)8(17)10(19)12(23-3)21-2-4-6(15)7(16)9(18)11(20)22-4/h3-20H,1-2H2/t3-,4+,5-,6+,7+,8+,9+,10-,11-,12+/m1/s1	OC[C@H]1O[C@H](OC[C@@H]2O[C@@H](O)[C@@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	C12H22O11	pos_1_1proton1ammonium	342.116211524	Glc(a1-6)a-L-All	DLRVVLDZNNYCBX	Carbohydrates	Saccharides	Disaccharides	http://www.wikidata.org/entity/Q158695	Arabidopsis thaliana	309263.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Camelineae']	['Arabidopsis']	['Arabidopsis thaliana']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']				6	2	7.0	1
4403	26	Carbohydrates	0.625	Saccharides	0.625	Monosaccharides	0.4166666666666667	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q105019946	GUBGYTABKSRVRQ-YOLKTULGSA-N	InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4+,5+,6+,7-,8-,9-,10+,11-,12-/m1/s1	OC[C@@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O	C12H22O11	pos_1_1proton1ammonium	342.116211524	Gal(a1-4)a-Alt	GUBGYTABKSRVRQ	Carbohydrates	Saccharides	Disaccharides	http://www.wikidata.org/entity/Q158695	Arabidopsis thaliana	309263.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Camelineae']	['Arabidopsis']	['Arabidopsis thaliana']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']				6	2	7.0	1
4403	26	Carbohydrates	0.625	Saccharides	0.625	Monosaccharides	0.4166666666666667	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q4027534	CZMRCDWAGMRECN-UGDNZRGBSA-N	InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1	OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O	C12H22O11	pos_1_1proton1ammonium	342.116211524	Sucrose	CZMRCDWAGMRECN	Carbohydrates	Saccharides	Disaccharides	http://www.wikidata.org/entity/Q158695	Arabidopsis thaliana	309263.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Camelineae']	['Arabidopsis']	['Arabidopsis thaliana']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']				6	2	7.0	1
4401	6	Shikimates and Phenylpropanoids	0.39655172413793105	Small peptides	0.29310344827586204	Aminoacids	0.25862068965517243	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q27278205	DGYHPLMPMRKMPD-UHFFFAOYSA-N	InChI=1S/C5H7NO2/c1-2-3-4(6)5(7)8/h1,4H,3,6H2,(H,7,8)	C#CCC(N)C(=O)O	C5H7NO2	pos_1_1proton1methanol	113.047678464	2-(Prop-2-ynylamino)acetate	DGYHPLMPMRKMPD	Amino acids and Peptides	Small peptides	Aminoacids	http://www.wikidata.org/entity/Q158695	Arabidopsis thaliana	309263.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Camelineae']	['Arabidopsis']	['Arabidopsis thaliana']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']				6	3	7.5	1
