"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"1094_319.05_2.8",1094,319.045496625951,2.77376378,"C15H10O8"
"1095_459.3_10.7",1095,459.302738355554,10.7333806956522,"C30H40N2O3"
"1096_455.35_8.7",1096,455.351631377948,8.69365573043478,"C30H48O4"
"1097_689.22_4.4",1097,689.21972024802,4.36978131818182,NA
"1098_273.08_4.5",1098,273.075717177214,4.49370728,"C15H12O5"
"1099_795.38_2.7",1099,795.378095223563,2.72643422666667,NA
"11_183.09_0.6",11,183.086332798586,0.632025946818182,"C6H14O6"
"110_584.42_10.2",110,584.422066298696,10.2124104761905,"C27H53N9O5"
"1100_421.13_4.5",1100,421.128026326497,4.50187042222222,"C24H22O8"
"1101_429.37_11.8",1101,429.372949573498,11.7919955217391,"C29H50O3"
"1102_259.21_9",1102,259.205232636825,8.97420331739131,"C18H26O"
"1103_444.33_7.8",1103,444.331926952709,7.84559192173913,"C24H47NO7"
"1104_617.13_4.1",1104,617.126537903502,4.14885501428571,NA
"1105_520.33_3.1",1105,520.332572332653,3.0713936826087,"C27H51N3O2S"
"1106_434.28_3",1106,434.275220042505,2.99389004736842,"C22H37N5O5"
"1107_338.25_5.9",1107,338.253592449686,5.89951556956522,"C17H33N5O3"
"1108_245.17_7.5",1108,245.174516760785,7.47168607826087,"C13H24O4"
"1109_480.16_8.9",1109,480.157022890837,8.93185679565217,"C20H31N3O6S"
"111_136.06_0.7",111,136.061826555366,0.700369193043478,"C5H5N5"
"1110_581.4_8.5",1110,581.398639709356,8.46588524,"C40H54O4"
"1111_838.64_10.7",1111,838.63741318217,10.6819575294118,NA
"1112_371.21_2.7",1112,371.206268377949,2.7314239631579,"C19H32O8"
"1113_790.55_11",1113,790.545533695927,11.0285547222222,"C43H77NO10"
"1114_399.27_3.8",1114,399.27180638564,3.77487448666667,NA
"1115_547.52_11",1115,547.51966229336,11.0118037894737,"C35H72O"
"1116_258.21_5.1",1116,258.206231822138,5.12083199565217,"C14H27NO3"
"1117_144.1_0.7",1117,144.101901928886,0.685604150869565,NA
"1118_758.22_10.8",1118,758.221921184139,10.7971073913043,"C38H41NO13"
"1119_611.16_2.5",1119,611.161314843072,2.471837545,"C27H30O16"
"112_355.17_3.6",112,355.172607817473,3.56172507222222,NA
"1120_149.1_2.7",1120,149.096230579649,2.74103702608696,"C10H14O2"
"1121_343.33_7.9",1121,343.331645268518,7.87317455454545,"C20H42N2O2"
"1122_254.25_8.7",1122,254.247625410017,8.69769046956522,NA
"1123_341.06_1.5",1123,341.063062730726,1.45939726,NA
"1124_374.3_8.9",1124,374.302800063453,8.93663646315789,NA
"1125_369.19_2.7",1125,369.191097939708,2.71977401666667,"C19H30O8"
"1126_531.29_6.2",1126,531.292958560134,6.19952754375,NA
"1127_175.02_0.8",1127,175.023654236382,0.8314729375,"C6H8O7"
"1128_126.09_2.8",1128,126.091456444992,2.84616415217391,"C7H13NO2"
"1129_476.18_2.4",1129,476.176877909774,2.40898582352941,"C20H29NO12"
"113_180.09_0.6",113,180.086642926771,0.627548028695652,"C6H13NO5"
"1130_360.13_2.3",1130,360.129776700384,2.33947471,NA
"1131_193.03_0.8",1131,193.034307263692,0.840955287,"C6H8O7"
"1132_403.23_8.6",1132,403.232356725329,8.57866670869565,"C20H34O8"
"1133_829.51_10.1",1133,829.505464650371,10.0794659545455,NA
"1134_175.15_2.9",1134,175.148171055901,2.8967485,"C13H20O"
"1135_537.45_10.8",1135,537.447696887132,10.7831723043478,NA
"1136_637.23_4.6",1136,637.225310686004,4.57659286,NA
"1137_418.29_8.7",1137,418.286496628003,8.69179584,"C27H35N3O"
"1138_336.33_8.7",1138,336.326409706553,8.67047016956522,"C22H43NO2"
"1139_191.14_9.7",1139,191.142878338352,9.66784503913044,"C13H18O"
"114_714.55_11.4",114,714.55123689027,11.408836952381,"C40H75NO9"
"1140_424.14_5.1",1140,424.135669584092,5.13427031111111,NA
"1141_600.47_8.6",1141,600.467529518017,8.56973200434783,NA
"1142_474.31_5.6",1142,474.306377245032,5.55625840869565,"C28H41N3O2"
"1143_479.37_10.8",1143,479.373990432708,10.8167474782609,"C29H50O5"
"1144_372.35_7.9",1144,372.347035768954,7.88296274782609,"C22H45NO3"
"1145_406.33_9.9",1145,406.329119474992,9.88012371304348,"C25H43NO3"
"1146_232.93_0.5",1146,232.928280993834,0.518316004736842,"C5H4Cl2N2O2"
"1147_453.17_3.5",1147,453.171421646845,3.51739356666667,NA
"1148_465.28_7.7",1148,465.281674457541,7.65598443333333,NA
"1149_509.31_5.3",1149,509.308651427716,5.31442234285714,NA
"115_291.09_3.3",115,291.08561712598,3.32987270555555,"C15H14O6"
"1150_491.12_3",1150,491.116916357869,2.97671195454545,NA
"1151_384.17_2.9",1151,384.165425227239,2.90031686153846,"C18H25NO8"
"1152_332.13_1.9",1152,332.133752173222,1.86676345909091,"C14H21NO8"
"1153_414.88_0.5",1153,414.883089751723,0.508579915384615,"C10H10Br2N4OS"
"1154_628.55_11.9",1154,628.550915390095,11.8568345555556,NA
"1155_350.22_3",1155,350.217533309738,3.04335456190476,"C17H29N5O4"
"1156_535.11_3.5",1156,535.107184604009,3.47656044375,"C22H24O14"
"1157_331.08_1.8",1157,331.078882104086,1.83740655,NA
"1158_395.2_3.7",1158,395.204168583719,3.73989083181818,"C19H32O7"
"1159_525.14_4.2",1159,525.136674599696,4.20150596153846,NA
"116_504.51_11.3",116,504.513904941412,11.3384525714286,NA
"1160_344.17_3.8",1160,344.170326252801,3.81894389565217,"C16H25NO7"
"1161_522.36_8",1161,522.355338526516,7.9693468952381,"C26H52NO7P"
"1162_139.04_2.5",1162,139.038954513948,2.53929969130435,"C7H8O4"
"1163_708.51_10.6",1163,708.511624914887,10.5739674782609,NA
"1164_708.49_7.8",1164,708.488438264328,7.81454735,"C44H67N3O2"
"1165_327.05_1.6",1165,327.047439213887,1.6455262952381,NA
"1166_518.2_4.1",1166,518.20198956351,4.10270983076923,"C26H33NO11"
"1167_439.14_3.8",1167,439.138660353844,3.83495818888889,"C24H22O8"
"1168_536.44_10.9",1168,536.437692572773,10.9267807333333,NA
"1169_252.88_0.5",1169,252.882299798632,0.540698390666667,NA
"117_434.2_2.8",117,434.202524153437,2.77728675714286,"C20H27N5O6"
"1170_366.37_11.3",1170,366.373009360467,11.3263915454546,"C24H47NO"
"1171_320.15_3.5",1171,320.148432450067,3.47810436363636,"C17H23NO6"
"1172_566.41_10.4",1172,566.411429725122,10.4193308888889,"C27H53N9O5"
"1173_340.36_11.4",1173,340.357347042238,11.3717941304348,"C22H45NO"
"1174_415.21_6.7",1174,415.211561071368,6.65711234347826,"C24H32O7"
"1175_437.19_6.7",1175,437.193732724639,6.67005593913044,NA
"1176_369.92_0.5",1176,369.924490121695,0.507150452307692,NA
"1177_361.09_2.9",1177,361.089359283447,2.89937156428571,"C16H18O8"
"1178_573.29_3.7",1178,573.28839504908,3.71468206666667,"C35H42O8"
"1179_417.34_11.4",1179,417.335964579085,11.4159673043478,"C27H46O4"
"118_583.41_9",118,583.414407881479,9.0345691047619,"C40H56O4"
"1180_549.57_11.5",1180,549.571752696033,11.458033,NA
"1181_175.15_2.7",1181,175.148208403077,2.70626634347826,"C13H20O"
"1182_553.28_7.5",1182,553.277068775857,7.48724394761905,"C28H38N6O7"
"1183_420.33_9.4",1183,420.33219254954,9.37955337391304,NA
"1184_351.11_2.5",1184,351.105369212313,2.53917534666667,NA
"1185_371.1_9.7",1185,371.101143618346,9.71166393913043,"C14H18N4O6S"
"1186_320.26_7.3",1186,320.255832119089,7.25436272173913,NA
"1187_478.29_7.4",1187,478.292209549366,7.36303587619048,"C23H44NO7P"
"1188_617.42_8.4",1188,617.417923905758,8.44092541,NA
"1189_378.18_1.7",1189,378.175610611527,1.729647935,"C15H25N5O5"
"119_409.18_2.7",119,409.183586252056,2.72266880909091,NA
"1190_331.08_1.5",1190,331.078269293159,1.50857471904762,NA
"1191_453.37_6.2",1191,453.368576056242,6.16469034285714,"C29H50O2"
"1192_172.17_5.4",1192,172.169528795325,5.41137226956522,"C10H21NO"
"1193_619.4_8.5",1193,619.397521225287,8.51685322857143,"C39H54O6"
"1194_411.2_3.3",1194,411.197354611997,3.32040279333333,NA
"1195_829.51_9.7",1195,829.506123490767,9.67018002727273,"C40H74N2O14"
"1196_551.1_3.3",1196,551.102674676887,3.25793287727273,"C24H22O15"
"1197_377.33_9.1",1197,377.325929481252,9.09538059130435,NA
