	Malus_vs_Potentilla_fold_change_log2	Malus_vs_Potentilla_p_value	Malus_vs_Prunus_fold_change_log2	Malus_vs_Prunus_p_value	Potentilla_vs_Prunus_fold_change_log2	Potentilla_vs_Prunus_p_value
5-hydroxymethylfurfural	0.791769716704541	0.0173751608982534	0.0515644547965072	0.978824272310398	-0.740205261908034	0.0217229302783082
Dipropyl hexanedioate	-0.348255148510487	0.417270705746459	-0.0186414786324968	0.996359274663301	0.329613669877991	0.45617812409581
salicylic acid	4.93436616660716	0.00406069333575709	2.34054792517602	0.750172623650938	-2.59381824143114	0.00838772367287788
4-coumaric acid	-5.45575936994866	0.13223276900463	-1.53779109577717	0.338759039749747	3.91796827417149	0.741362728904442
Pestalotionol	-0.077976034373804	0.745456996546858	0.0997970488213021	0.592752808199925	0.177773083195106	0.257757302167107
2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3,4-dihydro-2H-1-benzopyran-4-one	0.948602138917514	0.833825180286342	0.68734885506664	0.923430756271044	-0.261253283850874	0.978169070886488
1-(1-Methylethenyl)-4-(1-methylethyl)benzene	2.14665938249269	0.468799339000909	-0.6632261448399	0.990072544371601	-2.80988552733259	0.404488712563684
3-(4-hydroxy-3-methoxyphenyl)prop-2-enoic acid	2.31428112686693	0.287310723773412	1.5159122356772	0.724671760300341	-0.798368891189728	0.663860050723474
4-guanidinobutanoic acid	-0.338845946095117	0.871829704435976	-0.586960121027018	0.71335841938822	-0.248114174931901	0.95161126076492
isoglutamine	-4.36973133483581	0.0799112761726812	-2.04635440501269	0.160621638436822	2.32337692982312	0.851173112596566
Phenylethyl primeveroside	-0.0836357719786844	0.988329994767151	-1.65998211126361	0.256258324396804	-1.57634633928492	0.306053762774148
caffeic acid	4.66876103089999	0.309295089526631	3.1464124583216	0.864670550771813	-1.5223485725784	0.549533438778197
Diisodecyl phthalate	0.288043999853456	0.337343074497686	0.193602181465195	0.601314805348056	-0.0944418183882614	0.854752710056644
dihydroresveratrol	-8.5257066810944	0.0140321223436148	-7.82477276458436	0.0141410609839081	0.700933916510042	0.999972364183487
N-tridecanoylglycine	-0.314978548922215	0.782478860374732	-0.611215706696592	0.495606550636162	-0.296237157774378	0.86547892871861
Dehydrocarpaine I	0.0308233048905305	0.99922839382611	-0.192624456230782	0.974581572546977	-0.223447761121313	0.96526347843076
4-[(2-methoxy-1-oxoethyl)amino]benzoic acid ethyl ester	-0.29048158662163	0.57907242865055	-0.0142992506016606	0.998245139165413	0.27618233601997	0.610546405303257
Isochlorogenic acid	-0.917227691102565	0.996783337977619	3.6126221415414	0.24004317595326	4.52984983264397	0.218234168738727
1-[1-(phenylmethyl)-4-piperidinyl]-3-(2,4,4-trimethylpentan-2-yl)thiourea	2.49019718641534	0.157293070574018	2.02712422498766	0.381223176103862	-0.463072961427679	0.76034802212561
2,6-Nonadienoic acid	-0.480705272630478	0.380029793548391	-0.163220961662751	0.853035726242429	0.317484310967727	0.661303771678566
2',4',6'-Trihydroxydihydrochalcone	-9.0004625257472	0.146497916882848	-10.7925816407655	0.145922731663582	-1.79211911501829	0.999994754008206
tridecanedioic acid	2.65767744692532	0.412447053183964	1.08647121741415	0.955104826653132	-1.57120622951117	0.559301859990398
eugenol	-2.9934694617839	0.534883035850257	0.431587975628789	0.896819275585208	3.42505743741269	0.326023864323755
octadecanamide	0.976641570718998	0.58970785720663	0.0272035490065311	0.999776136768531	-0.949438021712467	0.60094887744447
ent-Epicatechin(4alpha->8)catechin	-8.6544798496352	0.746630695203385	0.745497024455439	0.871059008783355	9.39997687409064	0.46849465236832
N-methylnicotinic acid	-0.854923452387929	0.75193063644977	-0.574117099628759	0.854556053070133	0.28080635275917	0.979150038616885
2-(4-Hydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol	-5.97762495238006	0.356882320109886	-1.99108212106212	0.527840129634853	3.98654283131794	0.932424127490725
5,7-dibromo-6-methoxy-3-methyl-2-benzofurancarboxylic acid	1.44475151108488	0.27038933907652	-0.408981869289433	0.966898132637011	-1.85373338037431	0.198702555254417
Palmitoylputrescine	0.136990114862251	0.395726258396482	0.157700926745664	0.304468558113895	0.0207108118834134	0.972725036959978
Dibutyl decanedioate	-0.434698710887999	0.392969356030633	-0.0189486643778559	0.997237479602288	0.415750046510143	0.425411381666912
DIMBOA-Glc	0.223773248472409	0.993077299772275	0.79362854894926	0.878134317169994	0.569855300476851	0.9249700290422
2-coumaric acid	3.61763416908541	0.993953909592376	7.05381486439852	0.481452933791307	3.43618069531311	0.536296010343921
kaempferol	0.206348289717325	0.976845918197184	0.649041016328273	0.737403417442495	0.442692726610948	0.84705692928614
2',4',6'-trihydroxyacetophenone	-11.3812366764784	2.09464459710595e-06	-7.33856956093904	2.15896855104702e-06	4.04266711553935	0.992302055628346
2-amino-5-oxohexanoic acid	-8.46047545248735	0.993024256372623	3.75378159798025	0.393152922231601	12.2142570504676	0.34524628928268
coumarin	0.826276407263899	0.908938867016849	1.77221438163367	0.43999568038851	0.945937974369775	0.664802295744951
(S)-2-Hydroxy-2-phenylacetonitrile O-b-D-allopyranoside	-8.15473747887356	0.999748353784971	7.56098885763333	0.0162342131886281	15.7157263365069	0.0158542907038061
2-{[3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol	1.70404520369774	0.00130246905539655	-0.207070108257766	0.917959369918005	-1.91111531195551	0.000956289869080029
1-O-Benzoylhexopyranose	-3.81154773389605	0.854172872905462	2.09774575858617	0.214902767015434	5.90929349248222	0.107921268622133
5-hydroxy-2-(4-hydroxyphenyl)-4-oxo-3-(pentopyranosyloxy)-4H-chromen-7-yl 6-deoxyhexopyranoside	-1.17860431642066	0.999999806981598	10.1752308352883	0.4828478982105	11.3538351517089	0.482547050584628
Kaempferol 3-(6''-acetylgalactoside) 7-rhamnoside	0	1	12.914111446979	0.465131002505117	12.914111446979	0.465131002505117
4-[[4-(dimethylamino)-6-(4-morpholinyl)-1,3,5-triazin-2-yl]oxy]benzoic acid methyl ester	-3.54126171375062	0.18556940678285	-1.22877293759862	0.458179028204846	2.312488776152	0.740768795870109
quercetin	-3.82983718377061	0.972682027389832	2.38855261169033	0.590203631380654	6.21838979546094	0.470753914272138
2,3-di(acetyloxy)-3-cyano-1-[1,2-di(acetyloxy)ethyl]propyl acetate	-4.54356403303885	0.987458607894368	3.51509875362174	0.297218357460364	8.05866278666059	0.247019643733285
5,7-dihydroxy-2-(4-hydroxyphenyl)-4-oxo-4H-1-benzopyran-3-yl 6-O-(6-deoxyhexopyranosyl)hexopyranoside	2.88818183188601	0.999998604829441	12.2676590810162	0.482727804805592	9.37947724913016	0.483537052532076
Phlorizine	-12.1734057260832	7.53867686320575e-06	-12.9185942951156	7.53455430690941e-06	-0.745188569032361	0.999998863944288
3,4-dimethoxycinnamyl acetate	1.96242528652496	0.618668995630674	1.5232817607338	0.810038166581514	-0.439143525791154	0.937702135749104
3-(1-piperidinylsulfonyl)-N-(2-thiazolyl)benzamide	-5.51065639714496	0.999114420182625	6.44039175866445	0.0290510723441215	11.9510481558094	0.027714299527212
2-(3,4-Dihydroxyphenyl)-8-[2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-3,4-dihydro-2H-chromen-4-yl]-4-[2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-3,4-dihydro-2H-chromen-8-yl]-3,4-dihydro-2H-chromene-3,5,7-triol	4.77406085093001	0.17973439699757	4.41699429885937	0.320408429289018	-0.357066552070641	0.888455122387072
salicylic acid-2-O-glucoside	5.17332523224156	0.00992504879219092	1.33732470644057	0.979303818895798	-3.83600052580099	0.0122086834346887
tryptophan	-0.154186075113416	0.951182238183565	-0.267231694295909	0.871795132813678	-0.113045619182493	0.977798729042335
Kaempferol 3-(6-acetylgalactoside)	-0.177139001168636	0.999896733567524	3.60048411335184	0.436521526912909	3.77762311452048	0.430006626026877
tryptophol	2.13146905806798	0.995553688420041	6.43880542209254	0.135054677038487	4.30733636402456	0.151473894636648
avenic acid A	5.60929178676328	0.999929713278914	13.3215593572184	0.113446211917036	7.71226757045516	0.115092880157913
N-(tetradecanoyl)ethanolamine	-0.0764356048454013	0.94304367463092	-0.0283355007383103	0.991632300672616	0.0481001041070911	0.977352058984417
2-phenylethylamine	2.49098744532176	0.998948576682106	7.17541322962575	0.418338723238645	4.68442578430399	0.43898524720738
Epicatechin 3-glucoside	-0.226798538921994	0.999901518118534	3.80198916170727	0.500761158157267	4.02878770062926	0.493853141064859
Epigallocatechin-(4beta->8)-catechin	-2.25314499341112	0.986855467034132	3.66393733924628	0.133207898907546	5.9170823326574	0.109280781306837
catechin	-3.43404087519529	0.305823356715228	-0.419883510939238	0.895031302518369	3.01415736425605	0.508680321628381
7-Galloylcatechin	1.37050446258022	0.999855248343594	6.98024502249256	0.455060764694006	5.60974055991235	0.46306058353583
Myricetin 3-(6-acetylgalactoside)	0.853733251067877	0.999996686194207	8.65828930979382	0.483048697586926	7.80455605872594	0.48429666910316
2-(hydroxymethyl)-6-[(e)-4-(1,2,4-trihydroxy-2,6,6-trimethylcyclohexyl)but-3-en-2-yl]oxyoxane-3,4,5-triol	-1.80282583911258	0.982169422216926	2.68870883787701	0.406982538568159	4.49153467698959	0.330344045488779
SF-1902-A4b	-0.935344640107521	0.996347245155458	3.91257409402887	0.115722621445598	4.84791873413639	0.104296752894853
Rustoside	9.35256243953965	0.713077116750581	9.77454961645685	0.558743818440464	0.421987176917197	0.959612738977193
6-Hydroxymusizin 8-O-b-D-glucopyranoside	1.85443203440435	0.999914532031319	8.0105723591061	0.483809525358162	6.15614032470175	0.490171752844446
(2R)-6,8-Diglucopyranosyl-4',5,7-trihydroxyflavanone	8.74147589486434	0.633122890447958	9.6964363821823	0.23620699714643	0.954960487317957	0.66498012757785
3-hydroxybenzaldehyde	3.94029458613255	0.235629789751272	3.51855397006132	0.425538771683904	-0.421740616071232	0.874445417650476
alpha-Bisabolol oxide A	0.764282254147095	0.810585107866819	0.199607325285554	0.990238560087122	-0.56467492886154	0.876318661804768
N-undecanoylglycine	-0.157091227513906	0.96626056013961	-1.33583782122471	0.370288324931319	-1.1787465937108	0.487999793246201
(3,4,5,6-tetrahydroxyoxan-2-yl)methyl acetate	1.37281782623927	0.999989312945109	8.79191892700214	0.482729193422431	7.41910110076287	0.484970804325832
LSM-1313	2.31021744270019	0.658820924725716	2.10815995338764	0.742300705066761	-0.202057489312546	0.988075461744581
Kaempferol-3-O-rhamnoside	-1.63533232106491	0.999975638625347	7.00337592153735	0.47103390394969	8.63870824260226	0.46770818399899
1-(3-Methylbutanoyl)-6-apiosylglucose	-1.36134150213055	0.891494503806843	0.958301665727484	0.7659099233337	2.31964316785803	0.509601958077524
trimazosin	2.30212032626	0.996115099612451	7.23197676512686	0.0429559251004585	4.92985643886685	0.0476036810782509
3,3',4',5,7-Pentahydroxyflavan(4->8)-3,4',5,7-tetrahydroxyflavan	1.50817830198856	0.743069431495301	1.60225136567982	0.699033637356764	0.0940730636912556	0.996632366533687
