row ID,row m/z,row retention time,Blank_202404241731_EB_dbgi_mapp_blk_pre02.mzML Peak area,Blank_202404241731_EB_dbgi_mapp_blk_pre03.mzML Peak area,Blank_202404241731_EB_dbgi_mapp_blk_pre01.mzML Peak area,Blank_202404241731_EB_dbgi_mapp_blk_pre04.mzML Peak area,Erythroxylum_coca_202404241731_EB_dbgi_003208_01_01_Luca.mzML Peak area,Erythroxylum_coca_202404241731_EB_dbgi_003208_02_01_Luca.mzML Peak area,Brugmansia_insignis_202404241731_EB_dbgi_003224_02_01_Luca.mzML Peak area,Brugmansia_insignis_202404241731_EB_dbgi_003224_01_02_Luca.mzML Peak area,Erythroxylum_australe_202404241731_EB_tp24_000007_02_02_Luca.mzML Peak area,Erythroxylum_australe_202404241731_EB_tp24_000007_01_01_Luca.mzML Peak area,
24,416.33699035823565,7.777438366666666,0,0,0,0,0,0,0,714.1985041139234,1370859.0321309662,114022.34887267639,
25,699.1888275146484,2.90894455,0,0,0,0,1666602.2413786768,2194020.089048697,0,0,0,0,
26,899.4943542480469,9.2020853,0,0,0,0,8505.421777265434,0,3974.8673995929794,0,0,774555.7959237193,
27,147.0439577102661,2.2356835499999996,7050.700797083887,6371.365603751169,7119.169914429226,6240.463010611382,2294336.1132884016,2213574.447977156,0,0,134867.39670487534,1.3049690115642393E7,
28,292.19974263590495,2.9424577333333333,0,0,0,0,26283.460445139364,904120.0867664041,2106842.5494003133,2823233.237651815,189789.8129123546,10771.979977199564,
29,299.20058188083226,10.09694611111111,1558.6309027513635,0,596.84961328129,514.6841115819018,78573.53756024322,57303.465677342334,882565.138578227,1171193.5694850732,15870.832102287426,58903.11257777276,
30,244.15436281498063,4.364305242857143,2445.2344571532976,1008.9663781930651,0,1482.4702411149524,0,0,8672.846150209343,5033.379889378295,616725.928001382,22906.42532670713,
31,652.4769439697266,10.288307,0,0,0,0,0,0,0,0,379791.8570826697,293858.00013597985,
32,400.2126414066569,3.4742927,3854.853296257719,1714.5767417449717,2390.163990639036,2774.61176925883,0,0,0,0,12826.688995693263,1.864649102534545E7,
33,896.5198974609375,8.5500354,0,0,0,0,0,0,0,0,0,629379.5991436378,
34,368.22804260253906,2.20457345,0,0,0,0,0,0,0,0,2663067.453783079,230735.21726345998,
35,159.14916483561197,0.5229755333333334,0,0,0,0,108088.14276304479,182449.68542735046,0,0,0,3071436.4519972354,
36,361.23636118721515,5.668391933333333,0,0,0,0,2171.3199344267146,1200.8390732454327,6045.232421917352,2519.1627594272695,414811.6316890672,35343.09922876892,
37,326.26933288762206,7.6686944100000005,13860.350587214143,14798.928439356778,15120.859905460427,14399.872886764591,78669.56245853577,47915.734758309096,46192.64592098337,100485.16915351167,2082910.135836759,188843.1663629548,
38,567.4198608398438,10.104087999999999,0,0,0,0,608345.2630096764,738612.3951705615,843788.8119860213,1029998.8936403997,203654.53662966646,711964.3651310203,
