"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"1204_534.36_7.9",1204,534.361853559106,7.87718024782609,"C24H49N9O2"
"1205_534.22_3.6",1205,534.218385823568,3.57681434,"C21H37NO13"
"1206_437.11_2.9",1206,437.105486701517,2.90525551764706,NA
"1207_422.33_7",1207,422.326195212699,6.95919758235294,"C25H43NO4"
"1208_244.23_5.3",1208,244.227002352051,5.31103779565217,"C14H29NO2"
"1209_342.26_7",1209,342.263831787109,6.970288748,"C19H37NO5"
"121_379.19_3.3",121,379.190286908896,3.34217475714286,"C16H30N2O6S"
"1210_468.19_5.9",1210,468.19136492451,5.89236858333333,"C23H31N3O5"
"1211_458.86_0.5",1211,458.856093557257,0.50583364,NA
"1212_189.09_2.9",1212,189.093865894136,2.94693458571429,"C9H16O2S"
"1213_487.23_2.7",1213,487.22813949585,2.67560005,"C18H36N6O7"
"1214_451.23_5.6",1214,451.230433959961,5.553917464,NA
"1215_410.2_3.2",1215,410.202187789748,3.17355836842105,"C16H29N5O6"
"1216_768.56_11.6",1216,768.56162109375,11.56288375,"C43H77NO10"
"1217_130.05_2.9",1217,130.049808349609,2.938906288,"C5H7NO3"
"1218_804.55_9.8",1218,804.550311279297,9.80118401,NA
"1219_543.18_3.4",1219,543.184083302873,3.41048087083333,NA
"122_499.45_11.7",122,499.451494852702,11.6877666666667,"C34H58O2"
"1220_454.39_8.3",1220,454.389481862386,8.27147075,"C27H51NO4"
"1221_244.06_0.8",1221,244.058098442149,0.837270006315789,NA
"1222_357.11_3",1222,357.114934820878,2.97717417368421,"C20H24Cl2"
"1223_410.23_3.3",1223,410.228308426706,3.3298386,"C20H31N3O6"
"1224_350.27_8.2",1224,350.269059401292,8.2278008,"C21H37NO4"
"1225_346.19_2.1",1225,346.18591100537,2.09705503181818,NA
"1226_332.28_6.6",1226,332.279650268933,6.601161712,"C18H37NO4"
"1227_712.43_8.1",1227,712.426132202148,8.09361383125,"C37H61NO12"
"1228_280.26_7",1228,280.263671264648,7.039780692,"C18H33NO"
"1229_132.11_1.1",1229,132.105878194173,1.0529034,NA
"123_184.12_6",123,184.115245594698,5.95143540588235,"C10H19NOS"
"1230_222.1_1.8",1230,222.097243268068,1.84385489565217,"C8H15NO6"
"1231_464.18_2.3",1231,464.176320620562,2.31480632173913,"C21H21N9O4"
"1232_156.07_0.7",1232,156.066319979154,0.66412766,"C6H12N3OP"
"1233_701.28_4.6",1233,701.28148651123,4.595251845,"C37H40N4O10"
"1234_357.14_3.4",1234,357.141885375977,3.447233105,"C17H22N2O5"
"1235_386.18_4.4",1235,386.180869607364,4.35828892941176,"C18H29NO9"
"1236_206.89_0.6",1236,206.88601902553,0.565466524761905,NA
"1237_436.14_2.6",1237,436.143242245629,2.60454797619048,"C17H27N5O3S2"
"1238_335.16_3.4",1238,335.160045623779,3.448415385,"C17H24N2O6"
"1239_238.15_2.4",1239,238.14683622518,2.44511758235294,"C10H23NO3S"
"124_235.14_1.8",124,235.136322594098,1.781804485,"C11H24O4S"
"1240_561.19_2.9",1240,561.194274902732,2.86705449166667,NA
"1241_344.26_8.9",1241,344.261141690563,8.92567629090909,"C19H37NO2S"
"1242_476.32_5.9",1242,476.322003173828,5.90944608666667,"C25H41N5O4"
"1243_315.19_7.2",1243,315.193478089006,7.24162728,"C16H22N6O"
"1244_621.21_3.1",1244,621.214559936523,3.06480066,"C25H36N2O16"
"1245_409.33_10.2",1245,409.330984933036,10.2341586666667,"C25H44O4"
"1246_404.15_3.1",1246,404.154905773919,3.05645804285714,"C18H21N5O6"
"1247_365.11_0.6",1247,365.105620117188,0.6333847472,"C12H22O11"
"1248_363.07_3.3",1248,363.068403625736,3.26494124,"C15H16O9"
"1249_516.22_3.4",1249,516.223941200658,3.41561267894737,NA
"125_582.59_11",125,582.593432617188,10.9896424,NA
"1250_193.16_4",1250,193.158418273926,4.0487289,"C13H20O"
"1251_802.53_11.4",1251,802.534702845982,11.4185164285714,"C44H78NO8P"
"1252_247.08_1.1",1252,247.078317082017,1.08245797647059,NA
"1253_382.17_1.8",1253,382.170944214241,1.83041087142857,"C15H27NO10"
"1254_468.21_3.2",1254,468.210046065481,3.18777935263158,NA
"1255_177.05_3.4",1255,177.05451751709,3.449808792,"C10H10O4"
"1256_691.3_3.4",1256,691.295544792875,3.44906411764706,"C30H40N10O8"
"1257_183.14_4.4",1257,183.137879638672,4.439287944,"C11H20O3"
"1258_435.15_5.1",1258,435.154498291016,5.13734816,"C24H22N2O6"
"1259_376.18_7.6",1259,376.180177688599,7.64450781875,"C26H23N3O"
"126_369.12_3.9",126,369.117527009258,3.8570606875,"C17H22O10"
"1260_208.14_2",1260,208.136491684687,2.01023967619048,"C9H21NO2S"
"1261_250.12_6.4",1261,250.11858978278,6.37066116,"C12H15N3O3"
"1262_148.06_1.4",1262,148.060343933105,1.396339136,"C5H9NO4"
"1263_134.12_0.6",1263,134.117709931873,0.624490822857143,"C6H15NO2"
"1264_136.11_2.6",1264,136.112053264271,2.60322534545455,"C9H13N"
"1265_268.3_7.5",1265,268.299785069057,7.53723295238095,"C18H37N"
"1266_261.22_6.7",1266,261.221065702892,6.68496531428571,"C18H30O2"
"1267_540.24_3.4",1267,540.243812561035,3.358054025,"C23H29N11O5"
"1268_492.15_2.8",1268,492.14783782959,2.817941595,"C28H23N5O3S"
"1269_401.13_3.8",1269,401.134123229981,3.828585835,"C20H20N2O7"
"127_475.18_3.7",127,475.181022644848,3.705740265,"C21H32O13"
"1270_476.31_2.9",1270,476.305883178711,2.948614904,"C21H41N5O7"
"1271_383.28_1.9",1271,383.276006062826,1.92364395,NA
"1272_397.24_8.6",1272,397.237049526638,8.57135016666667,"C23H34O4"
"1273_695.32_5.2",1273,695.324434408325,5.20073164,NA
"1274_504.39_8.5",1274,504.389629588408,8.50947142352941,NA
"1275_427.1_2.5",1275,427.100407650596,2.49211287368421,"C14H24N2O12S"
"1276_356.32_10",1276,356.31608327446,9.96147907083333,"C21H41NO3"
"1277_259.12_3.8",1277,259.122685750326,3.7961565,"C18H14N2"
"1278_393.29_8.5",1278,393.285054206848,8.48090335625,NA
"1279_165.05_0.9",1279,165.054686431885,0.9368586532,"C9H10O4"
"128_380.2_1.7",128,380.20270134631,1.65139878823529,"C19H29N3O3S"
"1280_210.18_8.7",1280,210.184947785877,8.7451167,"C13H23NO"
"1281_520.28_3.2",1281,520.275177001953,3.16049225714286,"C25H37N5O7"
"1282_689.39_8.4",1282,689.386068243729,8.40200024736842,NA
