CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
41	3049	6	0.9346	-18.004
41	3965	6	0.8918	0.000
99	234	6	0.9159	36.000
99	404	6	0.9127	10.010
99	1525	6	0.9021	10.010
99	2405	6	0.9181	-99.069
99	2582	6	0.8395	19.921
383	1829	6	0.7709	54.010
871	1829	6	0.7725	15.995
1829	2112	6	0.9082	0.000
1829	2113	6	0.9175	0.000
1829	2563	6	0.7709	-54.010
977	1275	6	0.8405	-11.004
1197	1275	6	0.9	-14.015
1275	1512	6	0.9477	-0.000
1275	4258	6	0.8603	-28.032
1275	4271	6	0.9204	14.016
1400	4270	6	0.7765	15.994
1423	4270	6	0.8157	-28.032
4205	4270	6	0.7765	15.994
1416	4039	6	0.7815	-44.027
4039	4136	6	0.7815	44.027
1308	2112	6	0.8549	115.063
383	2563	6	1.0	0.000
2113	2563	6	0.8327	-54.010
2563	4196	6	0.8319	-214.230
1400	1407	6	0.8566	88.053
1400	1416	6	0.8259	-44.025
1400	1423	6	0.9001	44.026
1400	4136	6	0.8259	-44.026
1400	4199	6	0.861	88.052
1400	4205	6	1.0	-0.000
1400	4258	6	0.7963	105.079
1407	1423	6	0.912	-44.026
1416	1423	6	0.7945	88.051
1423	4136	6	0.7945	-88.052
1423	4199	6	0.9164	44.026
1423	4205	6	0.9001	-44.026
1423	4285	6	0.7977	14.010
1423	4350	6	0.8028	-0.006
404	3880	6	0.9377	-39.036
1525	3880	6	0.9317	-39.037
234	2515	6	0.9062	0.000
2045	2515	6	0.8981	-0.029
2515	2536	6	0.9119	0.029
2515	3049	6	0.9218	-17.968
2515	3965	6	0.926	0.036
234	3049	6	0.9415	-17.968
2045	3049	6	0.8955	-17.997
2536	3049	6	0.9117	-17.997
3049	3965	6	0.9093	18.005
1276	4377	6	1.0	-0.000
4196	4377	6	0.8793	-56.062
46	2046	6	0.9409	-0.011
2046	2052	6	1.0	0.000
2046	4014	6	0.9655	0.011
3767	4196	6	0.9043	0.000
1407	4199	6	0.955	-0.000
1407	4205	6	0.8566	-88.053
1407	4237	6	0.8414	14.014
1407	4242	6	0.8214	14.009
1407	4258	6	0.8944	17.026
1407	4338	6	0.7971	14.010
234	1525	6	0.9155	-25.990
404	1525	6	0.9708	0.000
46	4014	6	0.9412	0.000
2052	4014	6	0.9655	0.011
383	4196	6	0.8319	-214.230
1276	4196	6	0.8793	56.062
4199	4205	6	0.861	-88.053
4199	4237	6	0.846	14.014
4199	4242	6	0.8521	14.009
